Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
29/01/2021,Dadra and Nagar Haveli and Daman and Diu,940,0,940,
29/01/2021,Delhi,48008,0,48008,
29/01/2021,Goa,3391,0,3391,
29/01/2021,Gujarat,221675,0,221675,
29/01/2021,Haryana,123935,0,123935,
29/01/2021,Himachal Pradesh,22918,0,22918,
29/01/2021,Jammu and Kashmir,26634,0,26634,
29/01/2021,Jharkhand,33119,0,33119,
29/01/2021,Karnataka,307891,0,307891,
29/01/2021,Kerala,135835,0,135835,
29/01/2021,Ladakh,989,0,989,
29/01/2021,Lakshadweep,746,0,746,
29/01/2021,Madhya Pradesh,246181,0,246181,
29/01/2021,Maharashtra,261320,0,261320,
29/01/2021,Manipur,3399,0,3399,
29/01/2021,Meghalaya,4200,0,4200,
29/01/2021,Mizoram,8497,0,8497,
29/01/2021,Nagaland,3973,0,3973,
29/01/2021,Odisha,205200,0,205200,
29/01/2021,Puducherry,2299,0,2299,
29/01/2021,Punjab,54988,0,54988,
29/01/2021,Rajasthan,324973,0,324973,
29/01/2021,Sikkim,2020,0,2020,
29/01/2021,Tamil Nadu,97126,0,97126,
29/01/2021,Telangana,166606,0,166606,
29/01/2021,Tripura,27617,0,27617,
29/01/2021,Uttar Pradesh,463793,0,463793,
29/01/2021,Uttarakhand,25818,0,25818,
29/01/2021,West Bengal,221994,0,221994,
29/01/2021,Miscellaneous,50078,0,50078,
29/01/2021,Total,3500027,0,3500027,
30/01/2021,Andaman and Nicobar Islands,2727,0,2727,
30/01/2021,Andhra Pradesh,187252,0,187252,
30/01/2021,Arunachal Pradesh,9651,0,9651,
30/01/2021,Assam,38106,0,38106,
30/01/2021,Bihar,146015,0,146015,
30/01/2021,Chandigarh,3447,0,3447,
30/01/2021,Chhattisgarh,72704,0,72704,
30/01/2021,Dadra and Nagar Haveli and Daman and Diu,1083,0,1083,
30/01/2021,Delhi,56818,0,56818,
30/01/2021,Goa,4117,0,4117,
30/01/2021,Gujarat,246054,0,246054,
30/01/2021,Haryana,125898,0,125898,
30/01/2021,Himachal Pradesh,27734,0,27734,
30/01/2021,Jammu and Kashmir,26634,0,26634,
30/01/2021,Jharkhand,40726,0,40726,
30/01/2021,Karnataka,315370,0,315370,
30/01/2021,Kerala,158687,0,158687,
30/01/2021,Ladakh,1128,0,1128,
30/01/2021,Lakshadweep,807,0,807,
30/01/2021,Madhya Pradesh,298376,0,298376,
30/01/2021,Maharashtra,269064,0,269064,
30/01/2021,Manipur,3987,0,3987,
30/01/2021,Meghalaya,4324,0,4324,
30/01/2021,Mizoram,9346,0,9346,
30/01/2021,Nagaland,3993,0,3993,
30/01/2021,Odisha,206424,0,206424,
30/01/2021,Puducherry,2736,0,2736,
30/01/2021,Punjab,57499,0,57499,
30/01/2021,Rajasthan,329611,0,329611,
30/01/2021,Sikkim,2020,0,2020,
30/01/2021,Tamil Nadu,105821,0,105821,
30/01/2021,Telangana,168606,0,168606,
30/01/2021,Tripura,29796,0,29796,
30/01/2021,Uttar Pradesh,463793,0,463793,
30/01/2021,Uttarakhand,28791,0,28791,
30/01/2021,West Bengal,243069,0,243069,
30/01/2021,Miscellaneous,52120,0,52120,
30/01/2021,Total,3744334,0,3744334,
31/01/2021,Andaman and Nicobar Islands,2727,0,2727,
31/01/2021,Andhra Pradesh,187252,0,187252,
31/01/2021,Arunachal Pradesh,9651,0,9651,
31/01/2021,Assam,38106,0,38106,
31/01/2021,Bihar,148293,0,148293,
31/01/2021,Chandigarh,3447,0,3447,
31/01/2021,Chhattisgarh,72704,0,72704,
31/01/2021,Dadra and Nagar Haveli and Daman and Diu,1083,0,1083,
31/01/2021,Delhi,56818,0,56818,
31/01/2021,Goa,4117,0,4117,
31/01/2021,Gujarat,247891,0,247891,
31/01/2021,Haryana,125977,0,125977,
31/01/2021,Himachal Pradesh,27734,0,27734,
31/01/2021,Jammu and Kashmir,26634,0,26634,
31/01/2021,Jharkhand,40860,0,40860,
31/01/2021,Karnataka,315370,0,315370,
31/01/2021,Kerala,165171,0,165171,
31/01/2021,Ladakh,1128,0,1128,
31/01/2021,Lakshadweep,807,0,807,
31/01/2021,Madhya Pradesh,298376,0,298376,
31/01/2021,Maharashtra,269064,0,269064,
31/01/2021,Manipur,3987,0,3987,
31/01/2021,Meghalaya,4324,0,4324,
31/01/2021,Mizoram,9346,0,9346,
31/01/2021,Nagaland,3993,0,3993,
31/01/2021,Odisha,206424,0,206424,
31/01/2021,Puducherry,2736,0,2736,
31/01/2021,Punjab,57499,0,57499,
31/01/2021,Rajasthan,330797,0,330797,
31/01/2021,Sikkim,2020,0,2020,
31/01/2021,Tamil Nadu,105821,0,105821,
31/01/2021,Telangana,168606,0,168606,
31/01/2021,Tripura,29796,0,29796,
31/01/2021,Uttar Pradesh,463793,0,463793,
31/01/2021,Uttarakhand,31228,0,31228,
31/01/2021,West Bengal,243143,0,243143,
31/01/2021,Miscellaneous,52120,0,52120,
31/01/2021,Total,3758843,0,3758843,
01/02/2021,Andaman and Nicobar Islands,2727,0,2727,
01/02/2021,Andhra Pradesh,187252,0,187252,
01/02/2021,Arunachal Pradesh,9791,0,9791,
01/02/2021,Assam,39724,0,39724,
01/02/2021,Bihar,184215,0,184215,
01/02/2021,Chandigarh,3803,0,3803,
01/02/2021,Chhattisgarh,76705,0,76705,
01/02/2021,Dadra and Nagar Haveli and Daman and Diu,1273,0,1273,
01/02/2021,Delhi,64711,0,64711,
01/02/2021,Goa,4509,0,4509,
01/02/2021,Gujarat,256097,0,256097,
01/02/2021,Haryana,126759,0,126759,
01/02/2021,Himachal Pradesh,33434,0,33434,
01/02/2021,Jammu and Kashmir,26634,0,26634,
01/02/2021,Jharkhand,48057,0,48057,
01/02/2021,Karnataka,316228,0,316228,
01/02/2021,Kerala,193925,0,193925,
01/02/2021,Ladakh,1234,0,1234,
01/02/2021,Lakshadweep,807,0,807,
01/02/2021,Madhya Pradesh,298376,0,298376,
01/02/2021,Maharashtra,310825,0,310825,
01/02/2021,Manipur,4373,0,4373,
